Trace
Swept SA
A.14.12,N9010A
3483900000,-66.6082458496094
3487600000,-66.6853408813477
3491300000,-66.8060989379883
3495000000,-66.6014709472656
3498700000,-66.2563781738281
3502400000,-66.6660537719727
3506100000,-66.8052825927734
3509800000,-66.0468368530273
3513500000,-65.8854675292969
3517200000,-66.015869140625
3520900000,-66.2105331420898
3524600000,-66.0271224975586
3528300000,-66.2030944824219
3532000000,-66.332763671875
3535700000,-66.5719375610352
3539400000,-66.205924987793
3543100000,-66.3594512939453
3546800000,-66.3564910888672
3550500000,-66.4097290039063
3554200000,-66.7775192260742
3557900000,-66.3394241333008
3561600000,-66.1817321777344
3565300000,-65.5541534423828
3569000000,-66.4294662475586
3572700000,-66.6554794311523
3576400000,-65.5659255981445
3580100000,-65.3924865722656
3583800000,-65.9800796508789
3587500000,-66.3229293823242
3591200000,-65.6232757568359
3594900000,-56.8132286071777
3598600000,-31.6117610931396
3602300000,-32.3149223327637
3606000000,-66.0418014526367
3609700000,-65.9835662841797
3613400000,-65.1719665527344
3617100000,-64.6253356933594
3620800000,-66.252555847168
3624500000,-66.1952133178711
3628200000,-65.2927856445313
3631900000,-66.1306838989258
3635600000,-31.0551776885986
3639300000,-48.5224876403809
3643000000,-66.0838623046875
3646700000,-65.0977401733398
3650400000,-65.9017486572266
3654100000,-64.3967514038086
3657800000,-66.5715026855469
3661500000,-66.2886199951172
3665200000,-57.4296836853027
3668900000,-53.1730041503906
3672600000,-31.1102809906006
3676300000,-66.9180145263672
3680000000,-59.8729858398438
3683700000,-66.1920394897461
3687400000,-66.1127395629883
3691100000,-65.9576568603516
3694800000,-66.4266128540039
3698500000,-66.3649520874023
3702200000,-59.4933700561523
3705900000,-59.9461631774902
3709600000,-31.180082321167
3713300000,-65.0696334838867
3717000000,-66.6255645751953
3720700000,-66.4485168457031
3724400000,-66.3220977783203
3728100000,-66.3288650512695
3731800000,-66.2282485961914
3735500000,-65.9790954589844
3739200000,-58.7900161743164
3742900000,-62.536060333252
3746600000,-31.2047443389893
3750300000,-66.1390228271484
3754000000,-66.2872009277344
3757700000,-66.1001586914063
3761400000,-66.2873764038086
3765100000,-65.9607849121094
3768800000,-66.5859375
3772500000,-65.7991943359375
3776200000,-66.6485824584961
3779900000,-66.0962829589844
3783600000,-31.292350769043
3787300000,-60.1236305236816
3791000000,-67.0677719116211
3794700000,-66.5361328125
3798400000,-31.2669830322266
3802100000,-31.30198097229
3805800000,-66.4045562744141
3809500000,-67.2693023681641
3813200000,-67.0315551757813
3816900000,-66.8130798339844
3820600000,-65.9646835327148
3824300000,-66.3575134277344
3828000000,-67.4765472412109
3831700000,-66.4630661010742
3835400000,-66.2708740234375
3839100000,-66.27197265625
3842800000,-67.0374069213867
3846500000,-65.691276550293
3850200000,-65.4602203369141
